file_name,num_classes,num_methods,num_reflections,num_file_operations,num_network_operations
modules\commons\src\main\java\org\apache\synapse\commons\SynapseCommonsException.java,1,0,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\beanstalk\enterprise\CacheEntry.java,1,4,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\beanstalk\enterprise\EnterpriseBeanstalk.java,1,13,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\beanstalk\enterprise\EnterpriseBeanstalkConstants.java,0,0,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\beanstalk\enterprise\EnterpriseBeanstalkManager.java,1,4,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\beanstalk\enterprise\EnterpriseBeanstalkView.java,1,9,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\beanstalk\enterprise\EnterpriseBeanstalkViewMBean.java,0,8,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\builders\XFormURLEncodedBuilder.java,1,3,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\DataSourceConstants.java,1,0,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\DataSourceFinder.java,1,2,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\DataSourceInformation.java,1,65,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\DataSourceInformationRepository.java,1,9,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\DataSourceInformationRepositoryListener.java,0,3,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\DatasourceMBeanRepository.java,1,5,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\DataSourceRepository.java,0,6,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\DataSourceRepositoryHolder.java,1,7,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\DataSourceRepositoryManager.java,1,6,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\DBPoolView.java,1,9,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\DBPoolViewMBean.java,0,5,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\InMemoryDataSourceRepository.java,1,6,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\JNDIBasedDataSourceRepository.java,1,16,0,0,0
modules\commons\src\main\java\org\apache\synapse\commons\datasource\RepositoryBasedDataSourceFinder.java,1,4,0,0,0
